Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.84222,48.7999,35779.4
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x4_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.99437,46.9411,34416.6
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x4_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,4,2,4,1,1,1,1,50,1024,201326592,137472507904,682,4.18171,44.8381,32874.7
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x4_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.82714,48.9922,35920.4
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,3.89584,48.1282,35287
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,3.62975,51.6564,37873.8
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,3.85679,48.6156,35644.3
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,4.45668,42.0717,30846.4
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,5,1,2,1,1,1,1,50,1024,201326592,137472507904,682,4.32037,43.3991,31819.6
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.44031,42.2268,30960.1
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,5,2,4,1,1,1,1,50,1024,201326592,137472507904,682,4.3439,43.164,31647.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.89076,38.3376,28108.6
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x4_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.44965,42.1381,30895.1
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x4_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,4,2,4,1,1,1,1,50,1024,201326592,137472507904,682,4.26588,43.9534,32226.1
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x4_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,5.16657,36.291,26608.1
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,6.25058,29.9972,21993.6
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,5.29412,35.4166,25967
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,5.75482,32.5814,23888.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,8.20351,22.8561,16757.8
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x5_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,5,1,2,1,1,1,1,50,1024,201326592,137472507904,682,7.06746,26.53,19451.5
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.21269,44.5084,32633
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,5,2,4,1,1,1,1,50,1024,201326592,137472507904,682,4.1145,45.5706,33411.8
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.43147,42.311,31021.9
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x4_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.1654,45.0137,33003.5
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x4_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,4,2,4,1,1,1,1,50,1024,201326592,137472507904,682,4.58125,40.9277,30007.7
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x4_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.48078,41.8454,30680.5
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,4.31607,43.4423,31851.3
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,4.193,44.7174,32786.2
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,4.43649,42.2631,30986.8
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,4.71567,39.7611,29152.3
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x5_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,5,1,2,1,1,1,1,50,1024,201326592,137472507904,682,5.91165,31.7171,23254.5
